name,model,display_resolution,OS,processor,Chipset,GPU,memory,storage,ram,primary_camera,secondary_camera,loud_speaker,audio_jack,sensors,battery,colors,price,img_url,,,
Acer,Liquid S2,6.0 inches (~69.0% screen-to-body ratio),Android 4.2.2 (Jelly Bean),Quad-core 2.2 GHz Krait 400,Qualcomm MSM8974 Snapdragon 800,Adreno 330,microSD  up to 64 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| quad-LED (ring) flash,2 MP| 1080p@30fps,Yes with stereo speakers,Yes,Accelerometer| gyro| proximity| compass,Non-removable Li-Po 3300 mAh battery,Black| Red,340,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-s2.jpg,,,
Acer,Liquid Z3,3.5 inches (~55.8% screen-to-body ratio),Android 4.2 (Jelly Bean),Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572,Mali-400,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,3.15 MP,No,Yes,Yes,Accelerometer| proximity,Removable Li-Ion 1500 mAh battery,Rock Black| Classic White,100,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z3.jpg,,,
Acer,Liquid S1,5.7 inches (~66.2% screen-to-body ratio),Android 4.2 (Jelly Bean),Quad-core 1.5 GHz Cortex-A7,Mediatek MT6589,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes with stereo speakers,Yes,Accelerometer| gyro| proximity| compass,Removable Li-Po 2400 mAh battery,White| Black,320,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-s1.jpg,,,
Acer,Iconia Tab A3,10.1 inches (~65.0% screen-to-body ratio),Android 4.2.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT8125T - Wi-Fi,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),16/32 GB,1 GB RAM,5 MP,VGA,Yes with stereo speakers,Yes,Accelerometer| gyro,Non-removable Li-Po 7300 mAh battery (27 Wh),Black/Silver| White,190,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-a3-a10.jpg,,,
Acer,Iconia Tab A1-811,7.9 inches (~63.6% screen-to-body ratio),Android 4.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT8389W,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus,VGA,Yes,Yes,Accelerometer| gyro,Non-removable Li-Ion 4960 mAh battery (18.6 Wh),White,150,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-b1-810.jpg,,,
Acer,Iconia Tab A1-810,7.9 inches (~63.6% screen-to-body ratio),Android 4.2.2 (Jelly Bean)| upgrad&#1072;ble to 4.4.2 (KitKat),Quad-core 1.2 GHz,Mediatek MT8125,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),8/16 GB,1 GB RAM,5 MP| autofocus,VGA,Yes,Yes,Accelerometer| gyro,Non-removable Li-Ion 4960 mAh battery (18.6 Wh),Black,120,http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-b1-810.jpg,,,
Acer,Liquid E2,4.5 inches (~62.7% screen-to-body ratio),Android 4.2.1 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes with stereo speakers,Yes,Accelerometer| gyro| proximity| compass,Removable Li-Ion 2000 mAh battery,Black| White,180,http://cdn2.gsmarena.com/vv/bigpic/Acer-Liquid-E2.jpg,,,
Acer,Liquid Z2,3.5 inches (~53.1% screen-to-body ratio),Android 4.1.1 (Jelly Bean),1.0 GHz Cortex-A5,Qualcomm MSM7227A Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,3 MP or 5 MP,No,Yes,Yes,Accelerometer| proximity,Removable Li-Ion 1300 mAh battery,Black| Black/White,100,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z2.jpg,,,
Acer,Liquid C1,4.3 inches (~61.1% screen-to-body ratio),Android 4.0 (Ice Cream Sandwich),1.2 GHz,Intel Atom Z2420,PowerVR SGX540,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,VGA,Yes,Yes,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,Black| White,180,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-c1.jpg,,,
Acer,Liquid E1,4.5 inches (~61.7% screen-to-body ratio),Android 4.1.1 (Jelly Bean),Dual-core 1.0 GHz Cortex-A9,Mediatek MT6577,SGX531u,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,5 MP| autofocus| LED flash,VGA,Yes with stereo speakers,Yes,Accelerometer| gyro| proximity| compass,Removable Li-Ion 1760 mAh battery,Black| White,170,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e1.jpg,,,
